in,out
19,338
19,340
19,344
19,698
19,348
19,707
19,709
19,716
20,632
20,633
20,541
20,279
20,992
20,999
20,110
20,916
20,203
20,20
20,563
20,27
20,760
20,219
20,1027
20,494
20,402
20,585
20,768
20,409
20,833
20,240
20,659
20,779
20,64
20,784
20,164
20,254
20,70
20,968
20,71
20,708
20,527
20,175
20,43
21,364
21,540
21,741
21,381
21,383
21,21
21,22
21,386
21,845
21,30
21,34
21,48
21,49
21,416
21,61
21,789
21,434
21,793
21,72
21,808
21,454
21,457
21,814
21,458
21,820
21,470
21,476
21,481
21,489
21,491
21,852
21,496
21,854
21,855
21,857
21,143
21,502
21,506
21,864
21,868
21,515
21,385
21,873
21,165
21,522
21,880
21,884
21,529
21,890
21,181
21,535
21,537
21,901
21,186
21,553
21,199
21,921
21,924
21,927
21,575
21,579
21,584
21,585
21,232
21,945
21,591
21,592
21,239
21,954
21,597
21,964
21,257
21,982
21,632
21,637
21,638
21,988
21,280
21,283
21,998
21,292
21,651
21,652
21,302
21,305
21,1019
21,1020
21,948
21,1028
21,1032
21,1034
21,332
21,689
21,338
21,340
21,344
21,698
21,348
21,707
21,709
21,716
22,364
22,540
22,741
22,381
22,383
22,22
22,386
22,845
22,30
22,34
22,48
22,49
22,416
22,61
22,789
22,434
22,793
22,72
22,808
22,454
22,457
22,814
22,458
22,820
22,470
22,476
22,481
22,489
22,491
22,852
22,496
22,854
22,855
22,857
22,143
22,502
22,506
22,864
22,868
22,515
22,385
22,873
22,165
22,522
22,880
22,884
22,529
22,890
22,181
22,535
22,537
22,901
22,186
22,553
22,199
22,921
22,924
22,927
22,575
22,579
22,584
22,585
22,232
22,945
22,591
22,592
22,239
22,954
22,597
22,964
22,257
22,982
22,632
22,637
22,638
22,988
22,280
22,283
22,998
22,292
22,651
22,652
22,302
22,305
22,1019
22,1020
22,948
22,1028
22,1032
22,1034
22,332
22,689
22,338
22,340
22,344
22,698
22,348
22,707
22,709
22,716
23,970
23,443
23,955
23,997
23,670
23,107
24,632
24,841
24,821
24,838
24,663
24,311
24,936
24,679
24,235
24,949
24,53
24,509
24,336
24,246
24,517
24,429
24,345
24,965
24,70
24,76
24,974
24,262
24,891
24,269
25,91
25,747
25,92
25,256
25,235
25,525
25,150
25,787
25,819
25,264
25,265
25,514
25,314
25,691
25,1007
26,632
26,920
26,286
26,76
27,632
27,633
27,986
27,541
27,279
27,377
27,110
27,916
27,1008
27,563
27,1013
27,753
27,29
27,397
27,494
27,430
27,675
27,585
27,1033
27,989
27,768
27,770
27,1027
27,833
27,240
27,595
27,659
27,602
27,341
27,507
27,784
27,699
27,164
27,255
27,70
27,968
27,71
27,621
27,43
27,534
28,632
28,900
28,197
28,191
28,28
28,556
28,293
28,1005
28,745
28,208
28,216
28,310
28,311
28,938
28,137
28,403
28,147
28,236
28,672
28,659
28,421
28,157
28,877
28,879
28,968
28,77
28,799
28,43
28,892
28,869
28,627
28,200
28,911
29,632
29,541
29,989
29,376
29,110
29,563
29,211
29,487
29,29
29,494
29,585
29,768
29,1027
29,240
29,507
29,659
29,430
29,699
29,70
29,968
29,43
30,364
30,540
30,741
30,381
30,383
30,386
30,845
30,30
30,34
30,48
30,49
30,416
30,61
30,789
30,434
30,793
30,72
30,808
30,454
30,457
30,814
30,458
30,820
30,470
30,476
30,481
30,489
30,491
30,852
30,496
30,854
30,855
30,857
30,143
30,502
30,506
30,864
30,868
30,515
30,385
30,873
30,165
30,522
30,880
30,884
30,529
30,890
30,181
30,535
30,537
30,901
30,186
30,553
30,199
30,921
30,924
30,927
30,575
30,579
30,584
30,585
30,232
30,945
30,591
30,592
30,239
30,954
30,597
30,964
30,257
30,982
30,632
30,637
30,638
30,988
30,280
30,283
30,998
30,292
30,651
30,652
30,302
30,305
30,1019
30,1020
30,948
30,1028
30,1032
30,1034
30,332
30,689
30,338
30,340
30,344
30,698
30,348
30,707
30,709
30,716
31,922
31,408
31,967
31,312
31,860
31,732
31,484
31,841
31,885
31,202
31,285
31,844
31,32
31,106
31,377
31,495
31,475
32,632
32,277
32,732
32,288
32,106
32,202
32,743
32,298
32,922
32,660
32,387
32,482
32,475
32,929
32,759
32,844
32,32
32,764
32,594
32,951
32,687
32,596
32,878
32,967
32,440
32,442
32,357
32,267
32,628
33,786
33,433
33,705
33,326
33,484
33,148
33,973
33,885
33,377
33,313
33,106
33,578
33,533
33,718
33,62
33,162
33,940
33,382
34,364
34,540
34,741
34,381
34,383
34,386
34,845
34,34
34,48
34,49
34,416
34,61
34,789
34,434
34,793
34,72
34,808
34,454
34,457
34,814
34,458
34,820
34,470
34,476
34,481
34,489
34,491
34,852
34,496
34,854
34,855
34,857
34,143
34,502
34,506
34,864
34,868
34,515
34,385
34,873
34,165
34,522
34,880
34,884
34,529
34,890
34,181
34,535
34,537
34,901
34,186
34,553
34,199
34,921
34,924
34,927
34,575
34,579
34,584
34,585
34,232
34,945
34,591
34,592
34,239
34,954
34,597
34,964
34,257
34,982
34,632
34,637
34,638
34,988
34,280
34,283
34,998
34,292
34,651
34,652
34,302
34,305
34,1019
34,1020
34,948
34,1028
34,1032
34,1034
34,332
34,689
34,338
34,340
34,344
34,698
34,348
34,707
34,709
34,716
35,632
35,633
35,833
35,255
35,770
35,792
35,838
35,1008
35,1033
35,267
35,36
35,581
35,110
36,632
36,633
36,563
36,255
36,267
36,770
36,639
36,216
36,668
36,287
36,917
37,700
37,560
37,768
37,120
37,883
37,710
37,643
37,194
37,1023
37,76
37,554
37,246
37,721
37,875
38,1025
38,240
39,811
39,117
39,986
39,235
39,76
39,908
39,549
39,601
39,1004
39,451
39,317
39,631
40,431
40,587
40,632
40,410
40,233
40,483
40,65
40,609
40,645
40,776
40,957
40,600
40,377
40,361
40,826
40,40
40,106
40,552
41,920
41,86
41,94
41,267
41,296
42,44
42,350
42,792
42,907
42,311
42,152
42,838
42,374
42,108
42,581
42,915
42,860
42,830
43,293
43,727
43,731
43,739
43,740
43,745
43,749
43,753
43,760
43,762
43,784
43,402
43,403
43,44
43,768
43,409
43,770
43,734
43,50
43,316
43,774
43,55
43,57
43,423
43,425
43,779
43,64
43,430
43,432
43,70
43,71
43,437
43,77
43,799
43,444
43,802
43,82
43,804
43,197
43,95
43,376
43,468
43,105
43,200
43,108
43,110
43,832
43,833
43,119
43,835
43,836
43,842
43,128
43,494
43,137
43,138
43,501
43,504
43,147
43,861
43,507
43,152
43,153
43,208
43,869
43,163
43,164
43,166
43,524
43,173
43,527
43,175
43,352
43,179
43,892
43,534
43,274
43,900
43,541
43,903
43,905
43,190
43,191
43,551
43,911
43,198
43,556
43,915
43,916
43,203
43,918
43,563
43,565
43,211
43,212
43,569
43,930
43,931
43,574
43,219
43,279
43,938
43,585
43,229
43,877
43,236
43,595
43,240
43,598
43,243
43,244
43,248
43,249
43,250
43,251
43,254
43,255
43,968
43,972
43,974
43,621
43,978
43,979
43,941
43,980
43,289
43,632
43,633
43,986
43,636
43,989
43,992
43,995
43,647
43,999
43,650
43,45
43,294
43,860
43,653
43,655
43,1008
43,659
43,1013
43,1014
43,1005
43,667
43,1022
43,1027
43,672
43,675
43,1033
43,686
43,952
43,333
43,337
43,341
43,697
43,699
43,702
43,708
43,355
43,421
43,599
44,632
44,633
44,659
44,255
44,541
44,770
44,860
44,173
44,152
44,466
44,934
44,133
44,108
44,915
44,605
44,653
45,727
45,903
45,731
45,190
45,501
45,60
45,105
45,289
45,376
45,650
45,740
45,294
45,918
45,832
45,119
45,835
45,1014
45,930
45,487
45,667
45,1022
45,316
45,82
45,229
45,680
45,45
45,686
45,447
45,774
45,507
45,55
45,153
45,243
45,423
45,425
45,248
45,249
45,250
45,697
45,251
45,57
45,702
45,166
45,437
45,352
45,337
45,762
45,802
45,403
45,804
45,978
45,979
45,647
45,941
45,980
45,911
46,212
47,860
47,685
47,76
47,547
47,311
47,106
47,912
48,364
48,540
48,741
48,381
48,383
48,386
48,845
48,48
48,49
48,416
48,61
48,789
48,434
48,793
48,72
48,808
48,454
48,457
48,814
48,458
48,820
48,470
48,476
48,481
48,489
48,491
48,852
48,496
48,854
48,855
48,857
48,143
48,502
48,506
48,864
48,868
48,515
48,385
48,873
48,165
48,522
48,880
48,884
48,529
48,890
48,181
48,535
48,537
48,901
48,186
48,553
48,199
48,921
48,924
48,927
48,575
48,579
48,584
48,585
48,232
48,945
48,591
48,592
48,239
48,954
48,597
48,964
48,257
48,982
48,632
48,637
48,638
48,988
48,280
48,283
48,998
48,292
48,651
48,652
48,302
48,305
48,1019
48,1020
48,948
48,1028
48,1032
48,1034
48,332
48,689
48,338
48,340
48,344
48,698
48,348
48,707
48,709
48,716
49,364
49,540
49,741
49,381
49,383
49,386
49,845
49,49
49,416
49,61
49,789
49,434
49,793
49,72
49,808
49,454
49,457
49,814
49,458
49,820
49,470
49,476
49,481
49,489
49,491
49,852
49,496
49,854
49,855
49,857
49,143
49,502
49,506
49,864
49,868
49,515
49,385
49,873
49,165
49,522
49,880
49,884
49,529
49,890
49,181
49,535
49,537
49,901
49,186
49,553
49,199
49,921
49,924
49,927
49,575
49,579
49,584
49,585
49,232
49,945
49,591
49,592
49,239
49,954
49,597
49,964
49,257
49,982
49,632
49,637
49,638
49,988
49,280
49,283
49,998
49,292
49,651
49,652
49,302
49,305
49,1019
49,1020
49,948
49,1028
49,1032
49,1034
49,332
49,689
49,338
49,340
49,344
49,698
49,348
49,707
49,709
49,716
50,274
50,633
50,173
50,95
50,905
50,734
50,76
50,198
50,739
50,653
50,749
50,565
50,836
50,569
50,931
50,842
50,574
50,128
50,504
50,860
50,861
50,507
50,333
50,598
50,524
50,972
50,355
50,974
50,444
50,621
51,898
51,815
51,460
51,735
51,464
51,465
51,375
51,1000
51,555
51,564
51,566
51,307
51,664
51,80
51,847
51,848
51,851
51,401
51,404
51,499
51,407
51,944
51,414
51,51
51,56
51,872
51,604
51,791
51,174
51,797
51,530
51,805
51,626
51,184
52,242
52,632
52,681
52,52
52,417
53,588
53,120
53,235
53,258
53,711
53,53
53,596
53,218
53,821
53,891
53,111
54,632
54,322
54,145
54,1012
55,727
55,903
55,731
55,190
55,501
55,60
55,105
55,289
55,376
55,650
55,740
55,294
55,918
55,832
55,119
55,835
55,1014
55,930
55,487
55,667
55,1022
55,316
55,82
55,229
55,680
55,686
55,447
55,774
55,507
55,55
55,153
55,243
55,423
55,425
55,248
55,249
55,250
55,697
55,251
55,57
55,702
55,166
55,437
55,352
55,337
55,762
55,802
55,403
55,804
55,978
55,979
55,647
55,941
55,980
55,911
56,898
56,815
56,460
56,735
56,464
56,465
56,375
56,1000
56,555
56,564
56,566
56,307
56,664
56,80
56,847
56,848
56,851
56,401
56,404
56,499
56,407
56,944
56,414
56,56
56,872
56,604
56,791
56,174
56,797
56,530
56,805
56,626
56,184
57,727
57,903
57,731
57,190
57,501
57,60
57,105
57,289
57,376
57,650
57,740
57,294
57,918
57,832
57,119
57,835
57,1014
57,930
57,487
57,667
57,1022
57,316
57,82
57,229
57,680
57,686
57,447
57,774
57,507
57,153
57,243
57,423
57,425
57,248
57,249
57,250
57,697
57,251
57,57
57,702
57,166
57,437
57,352
57,337
57,762
57,802
57,403
57,804
57,978
57,979
57,647
57,941
57,980
57,911
58,632
58,639
58,545
58,546
58,287
58,291
58,377
58,303
58,925
58,308
58,319
58,503
58,590
58,58
58,795
58,439
58,261
58,79
58,446
58,447
58,360
59,923
59,221
59,991
59,711
59,358
59,59
60,632
60,727
60,903
60,731
60,190
60,105
60,289
60,650
60,740
60,294
60,918
60,832
60,659
60,119
60,835
60,1014
60,930
60,667
60,1022
60,316
60,229
60,501
60,686
60,1027
60,774
60,507
60,153
60,243
60,423
60,425
60,248
60,249
60,250
60,697
60,251
60,702
60,166
60,968
60,352
60,437
60,337
60,802
60,82
60,804
60,978
60,979
60,647
60,941
60,980
60,762
61,364
61,540
61,741
61,381
61,383
61,386
61,845
61,416
61,61
61,789
61,434
61,793
61,72
61,808
61,454
61,457
61,814
61,458
61,820
61,470
61,476
61,481
61,489
61,491
61,852
61,496
61,854
61,855
61,857
61,143
61,502
61,506
61,864
61,868
61,515
61,385
61,873
61,165
61,522
61,880
61,884
61,529
61,890
61,181
61,535
61,537
61,901
61,186
61,553
61,199
61,921
61,924
61,927
61,575
61,579
61,584
61,585
61,232
61,945
61,591
61,592
61,239
61,954
61,597
61,964
61,257
61,982
61,632
61,637
61,638
61,988
61,280
61,283
61,998
61,292
61,651
61,652
61,302
61,305
61,1019
61,1020
61,948
61,1028
61,1032
61,1034
61,332
61,689
61,338
61,340
61,344
61,698
61,348
61,707
61,709
61,716
62,365
62,544
62,906
62,106
62,377
62,382
62,210
62,304
62,123
62,484
62,666
62,843
62,313
62,578
62,939
62,765
62,940
62,142
62,682
62,326
62,148
62,241
62,418
62,422
62,245
62,62
62,343
62,162
62,786
62,433
62,705
62,353
62,973
62,618
62,885
62,712
62,533
62,718
62,172
62,272
63,405
63,101
63,336
63,1001
63,603
63,780
63,655
64,632
64,164
64,659
64,255
64,633
64,71
64,279
64,770
64,527
64,992
64,708
64,409
64,779
64,916
64,203
64,784
65,431
65,587
65,632
65,410
65,233
65,483
65,65
65,609
65,645
65,776
65,957
65,600
65,377
65,361
65,826
65,106
65,552
66,205
66,282
66,1018
66,513
67,632
67,67
67,350
67,70
67,684
67,424
67,773
67,76
67,467
67,397
67,602
67,752
67,914
68,406
68,145
68,214
68,641
68,127
68,395
68,777
68,871
68,448
68,961
68,97
68,518
69,363
69,679
69,125
69,813
69,612
69,882
69,354
69,642
69,665
69,866
69,775
69,795
69,512
69,580
69,673
69,893
69,295
69,676
70,367
70,369
70,372
70,377
70,752
70,753
70,754
70,430
70,768
70,770
70,781
70,429
70,784
70,317
70,790
70,71
70,794
70,795
70,76
70,451
70,73
70,812
70,467
70,110
70,833
70,120
70,121
70,486
70,494
70,498
70,507
70,508
70,517
70,427
70,164
70,171
70,883
70,534
70,536
70,541
70,549
70,194
70,554
70,394
70,916
70,560
70,563
70,932
70,989
70,585
70,942
70,943
70,235
70,593
70,595
70,240
70,601
70,246
70,255
70,968
70,262
70,264
70,632
70,633
70,635
70,279
70,290
70,1004
70,587
70,659
70,1013
70,311
70,1023
70,1027
70,675
70,1033
70,1008
70,684
70,331
70,334
70,345
70,699
70,350
70,351
70,721
71,632
71,633
71,541
71,279
71,992
71,999
71,110
71,916
71,203
71,563
71,760
71,219
71,1027
71,494
71,402
71,585
71,768
71,833
71,240
71,659
71,779
71,784
71,164
71,254
71,968
71,71
71,175
72,364
72,540
72,741
72,381
72,383
72,386
72,845
72,416
72,789
72,434
72,793
72,72
72,808
72,454
72,457
72,814
72,458
72,820
72,470
72,476
72,481
72,489
72,491
72,852
72,496
72,854
72,855
72,857
72,143
72,502
72,506
72,864
72,868
72,515
72,385
72,873
72,165
72,522
72,880
72,884
72,529
72,890
72,181
72,535
72,537
72,901
72,186
72,553
72,199
72,921
72,924
72,927
72,575
72,579
72,584
72,585
72,232
72,945
72,591
72,592
72,239
72,954
72,597
72,964
72,257
72,982
72,632
72,637
72,638
72,988
72,280
72,283
72,998
72,292
72,651
72,652
72,302
72,305
72,1019
72,1020
72,948
72,1028
72,1032
72,1034
72,332
72,689
72,338
72,340
72,344
72,698
72,348
72,707
72,709
72,716
73,363
73,632
73,841
73,813
73,372
73,290
73,111
73,295
73,742
73,301
73,120
73,838
73,663
73,311
73,218
73,936
73,673
73,676
73,498
73,679
73,588
73,235
73,949
73,593
73,866
73,509
73,336
73,512
73,246
73,517
73,696
73,963
73,429
73,345
73,965
73,260
73,76
73,974
73,262
73,926
73,269
74,399
74,795
74,146
75,327
75,871
76,724
76,367
76,729
76,730
76,369
76,372
76,737
76,739
76,742
76,780
76,749
76,388
76,394
76,405
76,408
76,413
76,773
76,420
76,426
76,427
76,429
76,436
76,444
76,81
76,196
76,85
76,451
76,794
76,90
76,811
76,260
76,95
76,466
76,467
76,821
76,472
76,112
76,478
76,121
76,484
76,841
76,842
76,128
76,490
76,492
76,752
76,498
76,859
76,504
76,861
76,508
76,509
76,156
76,517
76,875
76,524
76,883
76,173
76,536
76,183
76,274
76,905
76,194
76,910
76,198
76,560
76,565
76,926
76,569
76,931
76,932
76,574
76,936
76,225
76,588
76,947
76,593
76,598
76,959
76,284
76,963
76,350
76,611
76,965
76,972
76,974
76,262
76,621
76,269
76,631
76,632
76,984
76,640
76,281
76,993
76,994
76,286
76,290
76,653
76,836
76,1009
76,301
76,311
76,1023
76,1029
76,681
76,683
76,684
76,333
76,334
76,336
76,696
76,345
76,700
76,347
76,704
76,355
76,182
76,719
76,721
77,632
77,900
77,197
77,191
77,556
77,293
77,1005
77,745
77,208
77,216
77,310
77,311
77,938
77,137
77,403
77,147
77,236
77,672
77,659
77,421
77,157
77,877
77,879
77,968
77,77
77,799
77,892
77,869
77,627
77,200
77,911
78,231
78,787
78,617
78,909
78,955
78,514
79,632
79,639
79,545
79,546
79,287
79,291
79,377
79,303
79,925
79,308
79,319
79,503
79,590
79,795
79,439
79,261
79,79
79,446
79,447
79,360
80,898
80,735
80,464
80,465
80,555
80,564
80,566
80,307
80,664
80,847
80,848
80,401
80,404
80,499
80,407
80,414
80,872
80,791
80,174
80,797
80,530
80,805
80,626
80,184
81,90
81,632
81,311
81,81
81,240
81,267
81,110
82,727
82,903
82,731
82,190
82,501
82,105
82,289
82,376
82,650
82,740
82,294
82,918
82,832
82,119
82,835
82,1014
82,930
82,487
82,667
82,1022
82,316
82,82
82,229
82,680
82,686
82,447
82,774
82,507
82,153
82,243
82,423
82,425
82,248
82,249
82,250
82,697
82,251
82,702
82,166
82,437
82,352
82,337
82,762
82,802
82,403
82,804
82,978
82,979
82,647
82,941
82,980
82,911
83,632
83,144
83,311
83,976
83,83
83,763
84,399
84,1001
84,674
84,212
85,478
85,369
85,593
85,1009
85,372
85,311
85,290
85,341
85,994
85,794
85,429
85,498
86,94
87,609
87,218
87,118
87,111
87,411
87,645
87,484
87,663
87,595
87,240
87,800
87,885
87,572
87,958
87,377
87,582
87,87
87,106
88,810
88,722
89,632
89,129
89,267
89,493
89,516
89,89
90,632
90,1008
90,833
90,240
90,311
90,1033
90,267
90,110
91,91
91,256
91,525
91,461
91,311
91,235
91,264
91,314
91,1007
92,747
92,92
92,256
92,525
92,461
92,819
92,1018
92,264
92,314
92,513
92,1002
92,1007
93,320
93,300
93,661
93,796
93,194
93,563
93,110
94,632
94,633
94,255
94,770
94,920
94,296
95,274
95,633
95,173
95,905
95,734
95,198
95,739
95,653
95,563
95,749
95,565
95,836
95,569
95,931
95,842
95,574
95,128
95,504
95,860
95,861
95,507
95,333
95,598
95,601
95,524
95,972
95,355
95,974
95,444
95,621
95,451
96,377
96,467
96,785
96,156
96,867
97,723
97,406
97,255
97,641
97,395
97,958
97,703
97,342
97,971
97,518
98,196
98,986
98,451
98,910
98,724
99,656
99,768
99,328
99,754
99,99
99,486
99,311
99,267
99,717
99,110
100,678
100,788
100,791
100,950
100,100
100,573
100,106
100,825
100,377
100,247
100,764
100,132
101,405
101,101
101,336
101,1001
101,603
101,655
102,990
102,711
102,757
102,102
102,358
102,850
103,632
103,953
104,405
104,118
104,209
104,613
104,620
104,104
104,268
104,226
104,160
105,727
105,903
105,731
105,190
105,501
105,105
105,289
105,376
105,650
105,740
105,294
105,918
105,832
105,119
105,835
105,1014
105,930
105,487
105,667
105,1022
105,316
105,229
105,680
105,686
105,447
105,774
105,507
105,153
105,243
105,423
105,425
105,248
105,249
105,250
105,697
105,251
105,702
105,166
105,437
105,352
105,337
105,762
105,802
105,403
105,804
105,978
105,979
105,647
105,941
105,980
105,911
106,365
106,367
106,732
106,739
106,377
106,311
106,748
106,387
106,759
106,408
106,410
106,770
106,415
106,418
106,776
106,422
106,428
106,431
106,788
106,792
106,440
106,442
106,451
106,453
106,323
106,106
106,108
106,112
106,121
106,482
106,123
106,484
106,841
106,843
106,844
106,132
106,495
106,142
106,860
106,148
106,152
106,878
106,881
106,172
106,885
106,178
106,533
106,951
106,539
106,570
106,541
106,904
106,544
106,906
106,547
106,549
106,552
106,912
106,915
106,202
106,922
106,210
106,568
106,929
106,573
106,581
106,939
106,582
106,233
106,950
106,594
106,241
106,596
106,600
106,601
106,245
106,606
106,765
106,255
106,967
106,260
106,973
106,618
106,625
106,628
106,272
106,632
106,633
106,634
106,277
106,285
106,826
106,288
106,1004
106,298
106,660
106,411
106,304
106,475
106,666
106,312
106,313
106,1029
106,317
106,677
106,678
106,237
106,681
106,682
106,685
106,687
106,343
106,347
106,350
106,705
106,353
106,696
106,355
106,838
106,712
106,357
106,483
106,718
106,361
106,957
107,632
107,253
107,970
107,443
107,955
107,997
107,761
107,670
107,398
108,632
108,408
108,633
108,841
108,547
108,659
108,912
109,109
109,703
110,376
110,744
110,749
110,388
110,753
110,784
110,402
110,768
110,409
110,412
110,779
110,430
110,796
110,472
110,494
110,138
110,144
110,859
110,862
110,150
110,507
110,511
110,520
110,164
110,523
110,527
110,175
110,691
110,180
110,534
110,541
110,275
110,916
110,203
110,563
110,211
110,216
110,989
110,585
110,942
110,595
110,240
110,254
110,255
110,968
110,615
110,975
110,977
110,632
110,633
110,635
110,639
110,279
110,992
110,287
110,999
110,297
110,1008
110,1010
110,661
110,1013
110,770
110,668
110,1027
110,675
110,1031
110,320
110,656
110,659
110,699
110,300
110,351
110,708
110,717
111,632
111,582
111,821
111,235
111,269
111,484
111,841
111,240
111,574
111,936
111,572
111,891
111,246
111,517
111,429
111,585
112,632
112,235
112,484
112,311
112,334
112,993
112,885
112,377
112,494
112,517
112,451
112,883
112,744
113,632
113,859
113,278
113,187
113,331
113,690
113,113
114,985
114,750
114,168
114,987
114,213
114,329
114,115
114,571
114,393
114,933
114,996
114,870
114,424
114,378
114,1003
114,201
114,114
114,220
115,985
115,750
115,168
115,987
115,505
115,213
115,329
115,870
115,571
115,393
115,933
115,996
115,127
115,424
115,378
115,1003
115,201
115,220
116,116
116,632
116,145
116,306
116,1002
116,1030
116,981
117,632
117,633
117,281
117,255
117,811
117,413
117,770
117,899
117,908
117,631
118,632
118,633
118,644
118,477
118,209
118,567
118,484
118,755
118,620
118,577
